#ts, mAh, I, U, status
1449909944, 0, 10, 139, 100
1449909949, 0, 9, 140, 100
1449909955, 0, 9, 139, 100
1449909960, 0, 10, 139, 100
1449909970, 0, 10, 140, 100
1449909975, 0, 9, 140, 100
1449909980, 1, 9, 139, 100
1449909985, 1, 9, 138, 100
1449909995, 1, 10, 138, 100
1449910001, 1, 10, 139, 100
1449910006, 1, 10, 138, 100
1449910011, 1, 9, 139, 100
1449910016, 1, 10, 139, 100
1449910021, 2, 10, 138, 100
1449910026, 2, 9, 139, 100
1449910031, 2, 9, 138, 100
1449910036, 2, 9, 138, 100
1449910041, 2, 10, 138, 100
1449910046, 2, 9, 139, 100
1449910052, 2, 10, 138, 100
1449910057, 2, 10, 138, 100
1449910062, 3, 9, 138, 100
1449910067, 3, 10, 139, 100
1449910072, 3, 9, 139, 100
1449910077, 3, 10, 138, 100
1449910082, 3, 9, 138, 100
1449910087, 3, 9, 138, 100
1449910092, 3, 9, 139, 100
1449910097, 3, 9, 138, 100
1449910103, 4, 10, 138, 100
1449910108, 4, 9, 138, 100
1449910113, 4, 10, 138, 100
1449910118, 4, 9, 137, 100
1449910123, 4, 9, 138, 100
1449910128, 4, 10, 138, 100
1449910138, 5, 9, 138, 100
1449910143, 5, 10, 137, 100
1449910148, 5, 10, 138, 100
1449910154, 5, 9, 138, 100
1449910164, 5, 9, 138, 100
1449910169, 5, 10, 138, 100
1449910174, 5, 10, 138, 100
1449910179, 6, 10, 138, 100
1449910184, 6, 10, 139, 100
1449910189, 6, 10, 137, 100
1449910194, 6, 10, 138, 100
1449910200, 6, 10, 138, 100
1449910205, 6, 10, 137, 100
1449910210, 6, 9, 137, 100
1449910215, 7, 10, 138, 100
1449910220, 7, 10, 137, 100
1449910225, 7, 10, 137, 100
1449910230, 7, 10, 137, 100
1449910235, 7, 9, 137, 100
1449910240, 7, 9, 137, 100
1449910245, 7, 10, 137, 100
1449910251, 7, 9, 137, 100
1449910256, 8, 10, 137, 100
1449910261, 8, 10, 137, 100
1449910266, 8, 9, 137, 100
1449910271, 8, 10, 137, 100
1449910276, 8, 10, 137, 100
1449910281, 8, 10, 137, 100
1449910286, 8, 9, 137, 100
1449910291, 9, 9, 137, 100
1449910297, 9, 10, 138, 100
1449910307, 9, 10, 137, 100
1449910312, 9, 10, 137, 100
1449910317, 9, 10, 137, 100
1449910322, 9, 9, 137, 100
1449910332, 10, 10, 137, 100
1449910337, 10, 9, 136, 100
1449910342, 10, 11, 137, 100
1449910348, 10, 9, 137, 100
1449910353, 10, 10, 138, 100
1449910358, 10, 10, 137, 100
1449910363, 10, 9, 136, 100
1449910368, 10, 9, 137, 100
1449910373, 11, 9, 137, 100
1449910378, 11, 10, 136, 100
1449910383, 11, 10, 137, 100
1449910388, 11, 10, 137, 100
1449910393, 11, 10, 136, 100
1449910399, 11, 9, 137, 100
1449910404, 11, 9, 137, 100
1449910409, 11, 9, 136, 100
1449910414, 12, 11, 137, 100
1449910419, 12, 9, 136, 100
1449910424, 12, 9, 136, 100
1449910429, 12, 10, 137, 100
1449910434, 12, 9, 136, 100
1449910439, 12, 10, 136, 100
1449910444, 12, 10, 136, 100
1449910450, 13, 9, 136, 100
1449910455, 13, 9, 136, 100
1449910460, 13, 9, 136, 100
1449910465, 13, 10, 136, 100
1449910470, 13, 9, 141, 100
1449910475, 13, 10, 136, 100
1449910480, 13, 10, 136, 100
1449910485, 13, 11, 136, 100
1449910490, 14, 9, 136, 100
1449910501, 14, 10, 136, 100
1449910506, 14, 9, 136, 100
1449910511, 14, 9, 136, 100
1449910516, 14, 9, 135, 100
1449910521, 14, 10, 136, 100
1449910526, 14, 10, 136, 100
1449910531, 15, 10, 136, 100
1449910536, 15, 10, 136, 100
1449910541, 15, 10, 136, 100
1449910546, 15, 9, 136, 100
1449910552, 15, 9, 136, 100
1449910557, 15, 9, 136, 100
1449910562, 15, 10, 136, 100
1449910567, 16, 10, 136, 100
1449910572, 16, 11, 136, 100
1449910577, 16, 9, 136, 100
1449910582, 16, 9, 136, 100
1449910587, 16, 9, 136, 100
1449910592, 16, 9, 135, 100
1449910598, 16, 10, 136, 100
1449910603, 16, 10, 136, 100
1449910608, 17, 9, 135, 100
1449910613, 17, 9, 135, 100
1449910618, 17, 9, 135, 100
1449910623, 17, 11, 136, 100
1449910628, 17, 10, 135, 100
1449910633, 17, 11, 136, 100
1449910638, 17, 10, 141, 100
1449910643, 17, 9, 135, 100
1449910649, 18, 10, 136, 100
1449910654, 18, 10, 135, 100
1449910659, 18, 10, 135, 100
1449910669, 18, 10, 135, 100
1449910674, 18, 9, 136, 100
1449910679, 18, 10, 136, 100
1449910684, 19, 10, 136, 100
1449910689, 19, 10, 136, 100
1449910695, 19, 10, 135, 100
1449910700, 19, 10, 135, 100
1449910705, 19, 10, 135, 100
1449910710, 19, 9, 135, 100
1449910715, 19, 10, 136, 100
1449910720, 19, 10, 136, 100
1449910725, 20, 10, 135, 100
1449910730, 20, 10, 135, 100
1449910735, 20, 10, 135, 100
1449910740, 20, 9, 135, 100
1449910746, 20, 11, 135, 100
1449910751, 20, 10, 135, 100
1449910756, 20, 10, 135, 100
1449910761, 20, 9, 135, 100
1449910766, 21, 10, 136, 100
1449910771, 21, 10, 135, 100
1449910776, 21, 11, 135, 100
1449910781, 21, 11, 135, 100
1449910786, 21, 9, 135, 100
1449910791, 21, 10, 135, 100
1449910797, 21, 9, 135, 100
1449910802, 22, 10, 135, 100
1449910812, 22, 10, 135, 100
1449910817, 22, 9, 135, 100
1449910822, 22, 10, 135, 100
1449910827, 22, 9, 135, 100
1449910837, 22, 10, 135, 100
1449910843, 23, 10, 134, 100
1449910848, 23, 10, 134, 100
1449910853, 23, 9, 134, 100
1449910858, 23, 11, 135, 100
1449910863, 23, 10, 135, 100
1449910868, 23, 10, 135, 100
1449910873, 23, 10, 134, 100
1449910878, 23, 9, 135, 100
1449910883, 24, 10, 135, 100
1449910888, 24, 10, 134, 100
1449910894, 24, 10, 135, 100
1449910899, 24, 9, 135, 100
1449910904, 24, 10, 135, 100
1449910909, 24, 9, 135, 100
1449910914, 24, 9, 135, 100
1449910919, 25, 10, 135, 100
1449910924, 25, 10, 135, 100
1449910929, 25, 11, 134, 100
1449910934, 25, 10, 134, 100
1449910940, 25, 10, 134, 100
1449910945, 25, 9, 134, 100
1449910950, 25, 10, 134, 100
1449910955, 25, 9, 134, 100
1449910960, 26, 11, 135, 100
1449910965, 26, 10, 134, 100
1449910970, 26, 10, 135, 100
1449910980, 26, 10, 134, 100
1449910985, 26, 9, 134, 100
1449910991, 26, 9, 134, 100
1449910996, 27, 10, 134, 100
1449911006, 27, 9, 134, 100
1449911011, 27, 10, 134, 100
1449911016, 27, 10, 134, 100
1449911021, 27, 9, 134, 100
1449911026, 27, 10, 135, 100
1449911031, 27, 10, 134, 100
1449911036, 28, 10, 134, 100
1449911042, 28, 10, 134, 100
1449911047, 28, 10, 134, 100
1449911052, 28, 9, 134, 100
1449911057, 28, 9, 134, 100
1449911062, 28, 10, 134, 100
1449911067, 28, 10, 134, 100
1449911072, 28, 11, 134, 100
1449911077, 29, 10, 134, 100
1449911082, 29, 10, 134, 100
1449911088, 29, 9, 134, 100
1449911093, 29, 9, 134, 100
1449911098, 29, 9, 134, 100
1449911103, 29, 10, 134, 100
1449911108, 29, 11, 134, 100
1449911113, 30, 10, 133, 100
1449911118, 30, 9, 133, 100
1449911123, 30, 9, 134, 100
1449911128, 30, 9, 134, 100
1449911133, 30, 9, 134, 100
1449911139, 30, 11, 134, 100
1449911149, 30, 10, 134, 100
1449911154, 31, 9, 134, 100
1449911159, 31, 9, 133, 100
1449911164, 31, 10, 134, 100
1449911174, 31, 10, 133, 100
1449911179, 31, 9, 134, 100
1449911185, 31, 9, 134, 100
1449911190, 31, 10, 134, 100
1449911195, 32, 9, 134, 100
1449911200, 32, 11, 134, 100
1449911205, 32, 10, 134, 100
1449911210, 32, 10, 133, 100
1449911215, 32, 10, 134, 100
1449911220, 32, 9, 134, 100
1449911225, 32, 9, 133, 100
1449911230, 33, 9, 134, 100
1449911236, 33, 9, 134, 100
1449911241, 33, 10, 134, 100
1449911246, 33, 9, 133, 100
1449911251, 33, 9, 133, 100
1449911256, 33, 9, 134, 100
1449911261, 33, 9, 134, 100
1449911266, 33, 10, 133, 100
1449911271, 34, 10, 134, 100
1449911276, 34, 10, 133, 100
1449911281, 34, 10, 134, 100
1449911287, 34, 10, 133, 100
1449911292, 34, 10, 133, 100
1449911297, 34, 9, 133, 100
1449911302, 34, 9, 134, 100
1449911307, 34, 10, 134, 100
1449911317, 35, 10, 133, 100
1449911322, 35, 10, 133, 100
1449911327, 35, 10, 133, 100
1449911333, 35, 9, 133, 100
1449911343, 35, 9, 133, 100
1449911348, 36, 10, 133, 100
1449911353, 36, 10, 133, 100
1449911358, 36, 10, 133, 100
1449911363, 36, 9, 133, 100
1449911368, 36, 9, 133, 100
1449911373, 36, 10, 133, 100
1449911378, 36, 10, 133, 100
1449911384, 36, 10, 133, 100
1449911389, 37, 9, 133, 100
1449911394, 37, 9, 133, 100
1449911399, 37, 10, 133, 100
1449911404, 37, 10, 134, 100
1449911409, 37, 9, 133, 100
1449911414, 37, 9, 133, 100
1449911419, 37, 10, 133, 100
1449911424, 38, 10, 133, 100
1449911429, 38, 9, 133, 100
1449911435, 38, 9, 133, 100
1449911440, 38, 9, 133, 100
1449911445, 38, 10, 133, 100
1449911450, 38, 9, 132, 100
1449911455, 38, 10, 133, 100
1449911460, 38, 10, 132, 100
1449911465, 39, 11, 134, 100
1449911470, 39, 10, 133, 100
1449911475, 39, 10, 133, 100
1449911486, 39, 10, 133, 100
1449911491, 39, 10, 133, 100
1449911496, 39, 10, 133, 100
1449911501, 39, 9, 132, 100
1449911511, 40, 9, 133, 100
1449911516, 40, 10, 133, 100
1449911521, 40, 10, 133, 100
1449911526, 40, 9, 133, 100
1449911532, 40, 9, 133, 100
1449911537, 40, 9, 132, 100
1449911542, 40, 10, 133, 100
1449911547, 41, 9, 133, 100
1449911552, 41, 11, 132, 100
1449911557, 41, 9, 133, 100
1449911562, 41, 10, 132, 100
1449911567, 41, 10, 132, 100
1449911572, 41, 10, 133, 100
1449911577, 41, 10, 133, 100
1449911583, 42, 9, 133, 100
1449911588, 42, 10, 133, 100
1449911593, 42, 10, 133, 100
1449911598, 42, 10, 133, 100
1449911603, 42, 10, 133, 100
1449911608, 42, 10, 133, 100
1449911613, 42, 9, 133, 100
1449911618, 42, 11, 132, 100
1449911623, 43, 9, 133, 100
1449911628, 43, 10, 132, 100
1449911634, 43, 10, 133, 100
1449911639, 43, 10, 133, 100
1449911644, 43, 9, 133, 100
1449911654, 43, 10, 133, 100
1449911659, 44, 10, 133, 100
1449911664, 44, 10, 132, 100
1449911669, 44, 9, 132, 100
1449911680, 44, 9, 132, 100
1449911685, 44, 10, 132, 100
1449911690, 44, 10, 132, 100
1449911695, 44, 9, 132, 100
1449911700, 45, 10, 133, 100
1449911705, 45, 10, 132, 100
1449911710, 45, 10, 132, 100
1449911715, 45, 10, 132, 100
1449911720, 45, 10, 132, 100
1449911725, 45, 9, 132, 100
1449911731, 45, 9, 132, 100
1449911736, 46, 9, 132, 100
1449911741, 46, 9, 132, 100
1449911746, 46, 9, 133, 100
1449911751, 46, 10, 132, 100
1449911756, 46, 10, 132, 100
1449911761, 46, 9, 133, 100
1449911766, 46, 9, 132, 100
1449911771, 46, 11, 132, 100
1449911776, 47, 10, 133, 100
1449911782, 47, 10, 132, 100
1449911787, 47, 10, 132, 100
1449911792, 47, 10, 132, 100
1449911797, 47, 9, 132, 100
1449911802, 47, 10, 132, 100
1449911807, 47, 10, 132, 100
1449911812, 47, 10, 132, 100
1449911817, 48, 9, 137, 100
1449911822, 48, 10, 132, 100
1449911827, 48, 10, 132, 100
1449911833, 48, 10, 132, 100
1449911838, 48, 10, 132, 100
1449911848, 48, 10, 132, 100
1449911853, 49, 10, 132, 100
1449911858, 49, 10, 132, 100
1449911863, 49, 10, 132, 100
1449911868, 49, 10, 133, 100
1449911873, 49, 10, 132, 100
1449911879, 49, 10, 132, 100
1449911884, 49, 9, 133, 100
1449911889, 49, 9, 132, 100
1449911894, 50, 9, 132, 100
1449911899, 50, 9, 132, 100
1449911904, 50, 10, 133, 100
1449911909, 50, 10, 132, 100
1449911914, 50, 10, 131, 100
1449911919, 50, 10, 133, 100
1449911924, 50, 10, 132, 100
1449911930, 50, 10, 132, 100
1449911935, 51, 9, 132, 100
1449911940, 51, 10, 132, 100
1449911945, 51, 10, 132, 100
1449911950, 51, 10, 132, 100
1449911955, 51, 10, 131, 100
1449911960, 51, 10, 131, 100
1449911965, 51, 9, 132, 100
1449911970, 52, 10, 132, 100
1449911975, 52, 10, 132, 100
1449911981, 52, 9, 131, 100
1449911986, 52, 10, 132, 100
1449911991, 52, 9, 132, 100
1449911996, 52, 11, 132, 100
1449912001, 52, 10, 131, 100
1449912006, 52, 10, 131, 100
1449912016, 53, 10, 132, 100
1449912021, 53, 9, 132, 100
1449912026, 53, 9, 132, 100
1449912032, 53, 10, 132, 100
1449912037, 53, 9, 134, 100
1449912042, 53, 10, 132, 100
1449912047, 53, 9, 131, 100
1449912052, 54, 9, 131, 100
1449912057, 54, 10, 132, 100
1449912062, 54, 10, 132, 100
1449912067, 54, 10, 131, 100
1449912072, 54, 11, 132, 100
1449912077, 54, 9, 132, 100
1449912083, 54, 10, 131, 100
1449912088, 55, 10, 132, 100
1449912093, 55, 9, 131, 100
1449912098, 55, 9, 132, 100
1449912103, 55, 10, 131, 100
1449912108, 55, 10, 131, 100
1449912113, 55, 10, 131, 100
1449912118, 55, 10, 132, 100
1449912123, 55, 9, 131, 100
1449912128, 56, 10, 132, 100
1449912134, 56, 10, 131, 100
1449912139, 56, 9, 131, 100
1449912144, 56, 9, 131, 100
1449912149, 56, 10, 132, 100
1449912154, 56, 9, 132, 100
1449912159, 56, 10, 132, 100
1449912164, 56, 9, 131, 100
1449912169, 57, 9, 131, 100
1449912174, 57, 9, 131, 100
1449912185, 57, 10, 132, 100
1449912190, 57, 9, 131, 100
1449912195, 57, 10, 131, 100
1449912200, 57, 10, 131, 100
1449912210, 58, 9, 131, 100
1449912215, 58, 9, 131, 100
1449912220, 58, 10, 132, 100
1449912225, 58, 10, 131, 100
1449912231, 58, 10, 131, 100
1449912236, 58, 9, 131, 100
1449912241, 58, 9, 131, 100
1449912246, 59, 9, 131, 100
1449912251, 59, 10, 131, 100
1449912256, 59, 10, 131, 100
1449912261, 59, 10, 131, 100
1449912266, 59, 9, 131, 100
1449912271, 59, 9, 132, 100
1449912276, 59, 10, 131, 100
1449912282, 59, 10, 131, 100
1449912287, 60, 10, 131, 100
1449912292, 60, 10, 131, 100
1449912297, 60, 10, 131, 100
1449912302, 60, 9, 131, 100
1449912307, 60, 10, 131, 100
1449912312, 60, 10, 131, 100
1449912317, 60, 10, 131, 100
1449912322, 60, 10, 131, 100
1449912327, 61, 9, 131, 100
1449912333, 61, 10, 131, 100
1449912338, 61, 10, 131, 100
1449912343, 61, 10, 131, 100
1449912353, 61, 9, 131, 100
1449912358, 61, 10, 131, 100
1449912363, 62, 10, 131, 100
1449912368, 62, 9, 131, 100
1449912379, 62, 10, 131, 100
1449912384, 62, 10, 131, 100
1449912389, 62, 10, 131, 100
1449912394, 62, 10, 132, 100
1449912399, 62, 9, 132, 100
1449912404, 63, 11, 132, 100
1449912409, 63, 9, 132, 100
1449912414, 63, 9, 131, 100
1449912419, 63, 10, 131, 100
1449912424, 63, 10, 131, 100
1449912430, 63, 11, 131, 100
1449912435, 63, 9, 132, 100
1449912440, 63, 9, 131, 100
1449912445, 64, 10, 132, 100
1449912450, 64, 10, 131, 100
1449912455, 64, 10, 131, 100
1449912460, 64, 10, 131, 100
1449912465, 64, 9, 132, 100
1449912470, 64, 10, 131, 100
1449912475, 64, 10, 130, 100
1449912481, 65, 9, 131, 100
1449912486, 65, 11, 130, 100
1449912491, 65, 9, 130, 100
1449912496, 65, 10, 130, 100
1449912501, 65, 10, 131, 100
1449912506, 65, 10, 131, 100
1449912511, 65, 9, 130, 100
1449912521, 66, 9, 131, 100
1449912527, 66, 10, 131, 100
1449912532, 66, 9, 130, 100
1449912537, 66, 9, 131, 100
1449912547, 66, 9, 131, 100
1449912552, 66, 9, 130, 100
1449912557, 67, 10, 131, 100
1449912562, 67, 9, 130, 100
1449912567, 67, 10, 132, 100
1449912572, 67, 10, 130, 100
1449912578, 67, 10, 130, 100
1449912583, 67, 10, 131, 100
1449912588, 67, 9, 131, 100
1449912593, 67, 10, 130, 100
1449912598, 68, 10, 131, 100
1449912603, 68, 10, 130, 100
1449912608, 68, 10, 131, 100
1449912613, 68, 11, 131, 100
1449912618, 68, 9, 130, 100
1449912623, 68, 11, 131, 100
1449912629, 68, 10, 131, 100
1449912634, 68, 10, 131, 100
1449912639, 69, 9, 131, 100
1449912644, 69, 10, 130, 100
1449912649, 69, 11, 130, 100
1449912654, 69, 10, 131, 100
1449912659, 69, 10, 130, 100
1449912664, 69, 9, 131, 100
1449912669, 69, 11, 131, 100
1449912674, 70, 10, 130, 100
1449912680, 70, 10, 131, 100
1449912690, 70, 10, 131, 100
1449912695, 70, 9, 131, 100
1449912700, 70, 9, 130, 100
1449912705, 70, 10, 131, 100
1449912715, 71, 9, 131, 100
1449912720, 71, 10, 131, 100
1449912725, 71, 10, 130, 100
1449912731, 71, 10, 131, 100
1449912736, 71, 9, 132, 100
1449912741, 71, 11, 131, 100
1449912746, 71, 10, 131, 100
1449912751, 72, 10, 130, 100
1449912756, 72, 10, 130, 100
1449912761, 72, 10, 131, 100
1449912766, 72, 9, 131, 100
1449912771, 72, 10, 130, 100
1449912777, 72, 10, 130, 100
1449912782, 72, 10, 131, 100
1449912787, 72, 10, 131, 100
1449912792, 73, 9, 130, 100
1449912797, 73, 10, 130, 100
1449912802, 73, 10, 130, 100
1449912807, 73, 9, 130, 100
1449912812, 73, 9, 130, 100
1449912817, 73, 11, 130, 100
1449912822, 73, 11, 130, 100
1449912828, 73, 10, 130, 100
1449912833, 74, 9, 131, 100
1449912838, 74, 11, 130, 100
1449912843, 74, 9, 131, 100
1449912848, 74, 10, 131, 100
1449912858, 74, 9, 130, 100
1449912863, 74, 10, 130, 100
1449912868, 75, 10, 130, 100
1449912873, 75, 10, 130, 100
1449912884, 75, 9, 130, 100
1449912889, 75, 10, 130, 100
1449912894, 75, 10, 130, 100
1449912899, 75, 10, 130, 100
1449912904, 75, 10, 131, 100
1449912909, 76, 10, 130, 100
1449912914, 76, 10, 130, 100
1449912919, 76, 10, 130, 100
1449912925, 76, 10, 130, 100
1449912930, 76, 9, 130, 100
1449912935, 76, 9, 130, 100
1449912940, 76, 10, 130, 100
1449912945, 76, 10, 130, 100
1449912950, 77, 11, 130, 100
1449912955, 77, 9, 130, 100
1449912960, 77, 9, 131, 100
1449912965, 77, 10, 130, 100
